Date,Error
2015-08-24,19
2015-08-25,49
2015-08-26,43
2015-08-27,45
2015-08-28,55
2015-08-29,27
2015-08-30,52
2015-08-31,25
2015-09-01,54
2015-09-02,84
2015-09-03,45
2015-09-04,59
2015-09-05,48
2015-09-06,78
2015-09-07,47
2015-09-08,23
2015-09-09,46
2015-09-10,12
2015-09-11,20
2015-09-12,48
2015-09-13,37
2015-09-14,31
2015-09-15,48
2015-09-16,16
2015-09-17,13
2015-09-18,91
2015-09-19,32
2015-09-20,36
2015-09-21,15
2015-09-22,30
2015-09-23,25
2015-09-24,18
2015-09-25,32
2015-09-26,50
2015-09-27,32
2015-09-28,19
2015-09-29,34
2015-09-30,18
2015-10-01,33
2015-10-02,25
2015-10-03,54
2015-10-04,36
2015-10-05,71
2015-10-06,40
2015-10-07,51
2015-10-08,30
2015-10-09,31
2015-10-10,25
2015-10-11,48
2015-10-12,37
2015-10-13,43
2015-10-14,59
2015-10-15,67
2015-10-16,41
2015-10-17,36
2015-10-18,32
2015-10-19,28
2015-10-20,27
2015-10-21,64
2015-10-22,63
2015-10-23,108
2015-10-24,61
2015-10-25,41
2015-10-26,31
2015-10-27,18
2015-10-28,39
2015-10-29,28
2015-10-30,14
2015-10-31,33
2015-11-01,62
2015-11-02,10
2015-11-03,36
2015-11-04,27
2015-11-05,64
2015-11-06,18
2015-11-07,19
2015-11-08,22
2015-11-09,16
2015-11-10,31
2015-11-11,73
2015-11-12,54
2015-11-13,26
2015-11-14,20
2015-11-15,18
2015-11-16,66
2015-11-17,24
2015-11-18,31
2015-11-19,77
2015-11-20,52
2015-11-21,47
2015-11-22,51
2015-11-23,20
2015-11-24,29
2015-11-25,96
2015-11-26,38
2015-11-27,35
2015-11-28,53
2015-11-29,83
2015-11-30,66
2015-12-01,53
2015-12-02,35
2015-12-03,34
2015-12-04,20
2015-12-05,22
2015-12-06,14
2015-12-07,18
2015-12-08,35
2015-12-09,54
2015-12-10,26
2015-12-11,19
2015-12-12,20
2015-12-13,25
2015-12-14,19
2015-12-15,24
2015-12-16,14
2015-12-17,21
2015-12-18,41
2015-12-19,21
2015-12-20,24
2015-12-21,0
2015-12-22,0
2015-12-23,4
2015-12-24,23
2015-12-25,22
2015-12-26,31
2015-12-27,28
2015-12-28,18
2015-12-29,32
2015-12-30,38
2015-12-31,28
2016-01-01,40
2016-01-02,30
2016-01-03,32
2016-01-04,25
2016-01-05,53
2016-01-06,123
2016-01-07,32
2016-01-08,41
2016-01-09,39
2016-01-10,39
2016-01-11,38
2016-01-12,67
2016-01-13,86
2016-01-14,39
2016-01-15,39
2016-01-16,34
2016-01-17,25
2016-01-18,23
2016-01-19,33
2016-01-20,38
2016-01-21,18
2016-01-22,20
2016-01-23,39
2016-01-24,18
2016-01-25,31
2016-01-26,18
2016-01-27,32
2016-01-28,62
2016-01-29,58
2016-01-30,52
2016-01-31,34
2016-02-01,61
2016-02-02,59
2016-02-03,56
2016-02-04,59
2016-02-05,38
2016-02-06,38
2016-02-07,24
2016-02-08,21
2016-02-09,26
2016-02-10,18
2016-02-11,28
2016-02-12,50
2016-02-13,37
2016-02-14,46
2016-02-15,41
2016-02-16,42
2016-02-17,55
2016-02-18,57
2016-02-19,45
2016-02-20,82
2016-02-21,41
2016-02-22,46
2016-02-23,95
2016-02-24,66
2016-02-25,62
2016-02-26,50
2016-02-27,48
2016-02-28,54
2016-02-29,35
2016-03-01,92
2016-03-02,93
2016-03-03,26
2016-03-04,31
2016-03-05,17
2016-03-06,20
2016-03-07,22
2016-03-08,40
2016-03-09,14
2016-03-10,19
2016-03-11,29
2016-03-12,24
2016-03-13,20
2016-03-14,28
2016-03-15,29
2016-03-16,22
2016-03-17,28
2016-03-18,19
2016-03-19,26
2016-03-20,28
2016-03-21,29
2016-03-22,22
2016-03-23,16
2016-03-24,15
2016-03-25,5
2016-03-26,4
2016-03-27,6
2016-03-28,5
2016-03-29,5
2016-03-30,8
2016-03-31,8
2016-04-01,11
2016-04-02,10
2016-04-03,35
2016-04-04,46
2016-04-05,29
2016-04-06,21
2016-04-07,27
2016-04-08,23
2016-04-09,41
2016-04-10,17
2016-04-11,16
2016-04-12,23
2016-04-13,22
2016-04-14,51
2016-04-15,41
2016-04-16,35
2016-04-17,33
2016-04-18,46
2016-04-19,43
2016-04-20,84
2016-04-21,53
2016-04-22,36
2016-04-23,27
2016-04-24,24
2016-04-25,23
2016-04-26,35
2016-04-27,44
2016-04-28,44
2016-04-29,34
2016-04-30,37
2016-05-01,38
2016-05-02,55
2016-05-03,64
2016-05-04,94
2016-05-05,106
2016-05-06,84
2016-05-07,68
2016-05-08,115
2016-05-09,72
2016-05-10,76
2016-05-11,44
2016-05-12,48
2016-05-13,56
2016-05-14,35
2016-05-15,43
2016-05-16,35
2016-05-17,27
2016-05-18,24
2016-05-19,17
2016-05-20,45
2016-05-21,20
2016-05-22,31
2016-05-23,24
2016-05-24,53
2016-05-25,49
2016-05-26,40
2016-05-27,85
2016-05-28,33
2016-05-29,64
2016-05-30,63
2016-05-31,77
2016-06-01,93
2016-06-02,50
2016-06-03,86
2016-06-04,99
2016-06-05,94
2016-06-06,67
2016-06-07,60
2016-06-08,34
2016-06-09,38
2016-06-10,23
2016-06-11,32
2016-06-12,27
2016-06-13,37
2016-06-14,107
2016-06-15,0
2016-06-16,27
2016-06-17,17
2016-06-18,29
2016-06-19,38
2016-06-20,32
2016-06-21,33
2016-06-22,48
2016-06-23,33
2016-06-24,39
2016-06-25,21
2016-06-26,49
2016-06-27,32
2016-06-28,17
2016-06-29,17
2016-06-30,15
2016-07-01,20
2016-07-02,49
2016-07-03,69
2016-07-04,27
2016-07-05,38
2016-07-06,60
2016-07-07,45
2016-07-08,13
2016-07-09,45
2016-07-10,39
2016-07-11,60
2016-07-12,90
2016-07-13,33
2016-07-14,26
2016-07-15,10
2016-07-16,50
2016-07-17,21
2016-07-18,66
2016-07-19,37
2016-07-20,29
2016-07-21,29
2016-07-22,25
2016-07-23,33
2016-07-24,29
2016-07-25,25
2016-07-26,50
2016-07-27,25
2016-07-28,28
2016-07-29,59
2016-07-30,23
2016-07-31,21
2016-08-01,19
2016-08-02,23
2016-08-03,30
2016-08-04,21
2016-08-05,32
2016-08-06,25
2016-08-07,20
2016-08-08,37
2016-08-09,40
2016-08-10,65
2016-08-11,33
2016-08-12,43
2016-08-13,47
2016-08-14,25
2016-08-15,43
2016-08-16,52
2016-08-17,24
2016-08-18,47
2016-08-19,39
2016-08-20,25
2016-08-21,36
2016-08-22,44
2016-08-23,40
2016-08-24,29
2016-08-25,38
2016-08-26,87
2016-08-27,33
2016-08-28,30
2016-08-29,30
2016-08-30,35
2016-08-31,59
2016-09-01,28
2016-09-02,55
2016-09-03,19
2016-09-04,84
2016-09-05,37
2016-09-06,50
2016-09-07,35
2016-09-08,64
2016-09-09,47
2016-09-10,67
2016-09-11,41
2016-09-12,41
2016-09-13,48
2016-09-14,85
2016-09-15,110
2016-09-16,94
2016-09-17,105
2016-09-18,150
2016-09-19,74
2016-09-20,58
2016-09-21,68
2016-09-22,48
2016-09-23,92
2016-09-24,66
2016-09-25,97
2016-09-26,52
2016-09-27,58
2016-09-28,50
2016-09-29,34
2016-09-30,88
2016-10-01,34
2016-10-02,74
2016-10-03,51
2016-10-04,43
2016-10-05,32
2016-10-06,43
2016-10-07,66
2016-10-08,78
2016-10-09,42
2016-10-10,63
2016-10-11,31
2016-10-12,68
2016-10-13,66
2016-10-14,72
2016-10-15,47
2016-10-16,61
2016-10-17,61
2016-10-18,71
2016-10-19,52
2016-10-20,62
2016-10-21,35
2016-10-22,32
2016-10-23,68
2016-10-24,81
2016-10-25,47
2016-10-26,33
2016-10-27,38
2016-10-28,40
2016-10-29,65
2016-10-30,134
2016-10-31,75
2016-11-01,34
2016-11-02,75
2016-11-03,53
2016-11-04,161
2016-11-05,39
2016-11-06,26
2016-11-07,44
2016-11-08,25
2016-11-09,27
2016-11-10,30
2016-11-11,23
2016-11-12,33
2016-11-13,60
2016-11-14,26
2016-11-15,29
2016-11-16,27
2016-11-17,26
2016-11-18,17
2016-11-19,16
2016-11-20,23
2016-11-21,52
2016-11-22,36
2016-11-23,47
2016-11-24,43
2016-11-25,145
2016-11-26,29
2016-11-27,28
2016-11-28,36
2016-11-29,25
2016-11-30,110
2016-12-01,22
2016-12-02,34
2016-12-03,63
2016-12-04,24
2016-12-05,35
2016-12-06,60
2016-12-07,32
2016-12-08,37
2016-12-09,62
2016-12-10,43
2016-12-11,29
2016-12-12,66
2016-12-13,74
2016-12-14,94
2016-12-15,63
2016-12-16,56
2016-12-17,36
2016-12-18,45
2016-12-19,51
2016-12-20,35
2016-12-21,43
2016-12-22,29
2016-12-23,21
2016-12-24,62
2016-12-25,76
2016-12-26,60
2016-12-27,62
2016-12-28,90
2016-12-29,59
2016-12-30,105
2016-12-31,51
2017-01-01,38
2017-01-02,71
2017-01-03,63
2017-01-04,44
2017-01-05,59
2017-01-06,31
2017-01-07,76
2017-01-08,85
2017-01-09,80
2017-01-10,75
2017-01-11,101
2017-01-12,58
2017-01-13,81
2017-01-14,87
2017-01-15,38
2017-01-16,66
2017-01-17,104
2017-01-18,63
2017-01-19,95
2017-01-20,55
2017-01-21,23
2017-01-22,74
2017-01-23,25
2017-01-24,35
2017-01-25,77
2017-01-26,143
2017-01-27,38
2017-01-28,41
2017-01-29,54
2017-01-30,59
2017-01-31,39
2017-02-01,50
2017-02-02,65
2017-02-03,49
2017-02-04,29
2017-02-05,34
2017-02-06,43
2017-02-07,64
2017-02-08,55
2017-02-09,33
2017-02-10,45
2017-02-11,41
2017-02-12,50
2017-02-13,35
2017-02-14,57
2017-02-15,61
2017-02-16,66
2017-02-17,38
2017-02-18,26
2017-02-19,59
2017-02-20,52
2017-02-21,76
2017-02-22,35
2017-02-23,45
2017-02-24,45
2017-02-25,34
2017-02-26,56
2017-02-27,41
2017-02-28,71
2017-03-01,71
2017-03-02,76
2017-03-03,92
2017-03-04,40
2017-03-05,109
2017-03-06,71
2017-03-07,47
2017-03-08,45
2017-03-09,48
2017-03-10,102
2017-03-11,71
2017-03-12,81
2017-03-13,44
2017-03-14,50
2017-03-15,42
2017-03-16,79
2017-03-17,40
2017-03-18,62
2017-03-19,82
2017-03-20,37
2017-03-21,27
2017-03-22,26
2017-03-23,48
2017-03-24,71
2017-03-25,58
2017-03-26,84
2017-03-27,101
2017-03-28,166
2017-03-29,211
2017-03-30,129
2017-03-31,100
2017-04-01,111
2017-04-02,56
2017-04-03,86
2017-04-04,88
2017-04-05,56
2017-04-06,88
2017-04-07,102
2017-04-08,78
2017-04-09,65
2017-04-10,36
2017-04-11,36
2017-04-12,36
2017-04-13,53
2017-04-14,45
2017-04-15,30
2017-04-16,21
2017-04-17,27
2017-04-18,25
2017-04-19,36
2017-04-20,53
2017-04-21,90
2017-04-22,83
